Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,10:10am Thu                                                                                          ,5/10/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,11:20am Thu                                                                                          ,5/10/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,9:35am Thu                                                                                           ,5/10/2018
Stroke Mechanics I (6-12 yrs.)          ,Cub Run RECenter                        ,6pm Fri                                                                                              ,5/11/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,10:10am Fri                                                                                          ,5/11/2018
Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,11:20am Fri                                                                                          ,5/11/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,10:45am Fri                                                                                          ,5/11/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,9am Fri                                                                                              ,5/11/2018
Stroke Mechanics III (9-15 yrs.)        ,Cub Run RECenter                        ,7:50pm Fri                                                                                           ,5/11/2018
Stroke Mechanics II (6-14 yrs.)         ,Cub Run RECenter                        ,6:50pm Fri                                                                                           ,5/11/2018
Springboard Diving-Beginning (6-Adult)  ,Cub Run RECenter                        ,6pm Fri                                                                                              ,5/11/2018
Springboard Diving-Inter (6-Adult)      ,Cub Run RECenter                        ,7pm Fri                                                                                              ,5/11/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Cub Run RECenter                        ,9:35am Fri                                                                                           ,5/11/2018
Stroke Mechanics I (6-12 yrs.)          ,Cub Run RECenter                        ,9am Sun                                                                                              ,5/13/2018
Swimming V for Children (6-12 yrs.)     ,Cub Run RECenter                        ,11:30am Sun                                                                                          ,5/13/2018
Swimming IV for Children (6-12 yrs.)    ,Cub Run RECenter                        ,9am Sun                                                                                              ,5/13/2018
Swimming IV for Children (6-12 yrs.)    ,Cub Run RECenter                        ,9:50am Sun                                                                                           ,5/13/2018
Swimming IV for Children (6-12 yrs.)    ,Cub Run RECenter                        ,10:40am Sun                                                                                          ,5/13/2018
Swimming IV for Children (6-12 yrs.)    ,Cub Run RECenter                        ,11:30am Sun                                                                                          ,5/13/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,9am Sun                                                                                              ,5/13/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,9:35am Sun                                                                                           ,5/13/2018
Pee Wee Paddler V (4-6 yrs.)            ,Cub Run RECenter                        ,10:10am Sun                                                                                          ,5/13/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,9am Sun                                                                                              ,5/13/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,9:50am Sun                                                                                           ,5/13/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,11:30am Sun                                                                                          ,5/13/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,9am Sun                                                                                              ,5/13/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,9:50am Sun                                                                                           ,5/13/2018
